"year","month","day","owli","owlt","dir","zyk950","zyk500","hum","ts","time"
1980,2,21,3,"SOAAT","'SO'","'A'","'A'","'T'",1980.1812,"1980-2-21 00:00:00"
1980,2,22,13,"SOAZT","'SO'","'A'","'Z'","'T'",1980.1839,"1980-2-22 00:00:00"
1980,2,23,33,"SOZZT","'SO'","'Z'","'Z'","'T'",1980.1866,"1980-2-23 00:00:00"
1980,2,24,23,"SOZAT","'SO'","'Z'","'A'","'T'",1980.1894,"1980-2-24 00:00:00"
1980,2,25,21,"XXZAT","'XX'","'Z'","'A'","'T'",1980.1921,"1980-2-25 00:00:00"
1980,2,26,1,"XXAAT","'XX'","'A'","'A'","'T'",1980.1949,"1980-2-26 00:00:00"
1980,2,27,2,"NOAAT","'NO'","'A'","'A'","'T'",1980.1976,"1980-2-27 00:00:00"
1980,2,28,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2003,"1980-2-28 00:00:00"
1980,2,29,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2031,"1980-2-29 00:00:00"
1980,3,1,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2097,"1980-3-1 00:00:00"
1980,3,2,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2124,"1980-3-2 00:00:00"
1980,3,3,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.2152,"1980-3-3 00:00:00"
1980,3,4,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2179,"1980-3-4 00:00:00"
1980,3,5,5,"NWAAT","'NW'","'A'","'A'","'T'",1980.2207,"1980-3-5 00:00:00"
1980,3,6,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.2234,"1980-3-6 00:00:00"
1980,3,7,39,"SWZZF","'SW'","'Z'","'Z'","'F'",1980.2261,"1980-3-7 00:00:00"
1980,3,8,38,"SOZZF","'SO'","'Z'","'Z'","'F'",1980.2289,"1980-3-8 00:00:00"
1980,3,9,15,"NWAZT","'NW'","'A'","'Z'","'T'",1980.2316,"1980-3-9 00:00:00"
